Practice ID,Provider ID,Observation Month,Variable,Value
1,1,1,Time Intake,34.15
1,1,1,Time Exam,1916.95
1,1,1,Time Signoff,83.64
1,1,1,Time Postvisit,367.72
1,1,2,Time Intake,88.32
1,1,2,Time Exam,2229.99
1,1,2,Time Signoff,80.72
1,1,2,Time Postvisit,498.68
1,1,3,Time Intake,39.49
1,1,3,Time Exam,2831.05
1,1,3,Time Signoff,60.88
1,1,3,Time Postvisit,552.55
1,1,4,Time Intake,22.53
1,1,4,Time Exam,2406.69
1,1,4,Time Signoff,48.52
1,1,4,Time Postvisit,500.2
1,1,5,Time Intake,22.02
1,1,5,Time Exam,2717.33
1,1,5,Time Signoff,59.2
1,1,5,Time Postvisit,462.65
1,1,6,Time Intake,28.49
1,1,6,Time Exam,2352.01
1,1,6,Time Signoff,70.26
1,1,6,Time Postvisit,438.97
1,2,1,Time Intake,0
1,2,1,Time Exam,1357.07
1,2,1,Time Signoff,12.31
1,2,1,Time Postvisit,651.1
1,2,2,Time Intake,0
1,2,2,Time Exam,1451.83
1,2,2,Time Signoff,29.95
1,2,2,Time Postvisit,634.88
1,2,3,Time Intake,0
1,2,3,Time Exam,1344.47
1,2,3,Time Signoff,14.85
1,2,3,Time Postvisit,553.52
1,2,4,Time Intake,0
1,2,4,Time Exam,1725.54
1,2,4,Time Signoff,7.42
1,2,4,Time Postvisit,1021.26
1,2,5,Time Intake,0
1,2,5,Time Exam,1405.96
1,2,5,Time Signoff,4.25
1,2,5,Time Postvisit,880.86
1,2,6,Time Intake,0
1,2,6,Time Exam,1689.85
1,2,6,Time Signoff,11.33
1,2,6,Time Postvisit,982.26
1,3,1,Time Intake,1.04
1,3,1,Time Exam,449.71
1,3,1,Time Signoff,13.96
1,3,1,Time Postvisit,14.83
1,3,2,Time Intake,0
1,3,2,Time Exam,295.04
1,3,2,Time Signoff,8.84
1,3,2,Time Postvisit,16.48
1,3,3,Time Intake,0.67
1,3,3,Time Exam,491.58
1,3,3,Time Signoff,11.69
1,3,3,Time Postvisit,34.64
1,3,4,Time Intake,0
1,3,4,Time Exam,449.79
1,3,4,Time Signoff,12.53
1,3,4,Time Postvisit,15.8
1,3,5,Time Intake,0
1,3,5,Time Exam,428.7
1,3,5,Time Signoff,11.13
1,3,5,Time Postvisit,31.15
1,3,6,Time Intake,1.73
1,3,6,Time Exam,438.7
1,3,6,Time Signoff,22.58
1,3,6,Time Postvisit,23.65
1,4,1,Time Intake,2.53
1,4,1,Time Exam,1067.59
1,4,1,Time Signoff,12.57
1,4,1,Time Postvisit,513.72
1,4,2,Time Intake,13.2
1,4,2,Time Exam,652.93
1,4,2,Time Signoff,8.07
1,4,2,Time Postvisit,411.79
1,4,3,Time Intake,4.93
1,4,3,Time Exam,1020.82
1,4,3,Time Signoff,10.41
1,4,3,Time Postvisit,546
1,4,4,Time Intake,12.2
1,4,4,Time Exam,1047.48
1,4,4,Time Signoff,8.48
1,4,4,Time Postvisit,618.93
1,4,5,Time Intake,1.05
1,4,5,Time Exam,998.41
1,4,5,Time Signoff,5.54
1,4,5,Time Postvisit,546.08
1,4,6,Time Intake,1.81
1,4,6,Time Exam,1030.97
1,4,6,Time Signoff,9.33
1,4,6,Time Postvisit,517.15
1,5,1,Time Intake,0
1,5,1,Time Exam,1657.9
1,5,1,Time Signoff,0.22
1,5,1,Time Postvisit,1813.85
1,5,2,Time Intake,0
1,5,2,Time Exam,1372.77
1,5,2,Time Signoff,2.08
1,5,2,Time Postvisit,1720.4
1,5,3,Time Intake,0
1,5,3,Time Exam,1764.12
1,5,3,Time Signoff,4.47
1,5,3,Time Postvisit,1771.82
1,5,4,Time Intake,0
1,5,4,Time Exam,1816.63
1,5,4,Time Signoff,0.2
1,5,4,Time Postvisit,1705.58
1,5,5,Time Intake,0
1,5,5,Time Exam,1416.53
1,5,5,Time Signoff,3.59
1,5,5,Time Postvisit,1587.64
1,5,6,Time Intake,0
1,5,6,Time Exam,1385.39
1,5,6,Time Signoff,7.57
1,5,6,Time Postvisit,1652.35
