Practice ID,Provider ID,Observation Month,Keystrokes,Mouseclicks
1,1,1,147087,18483
1,1,2,188755,21793
1,1,3,228111,26304
1,1,4,184855,22027
1,1,5,207623,25193
1,1,6,194700,21970
1,2,1,208638,10373
1,2,2,211882,11213
1,2,3,190395,10523
1,2,4,290176,13931
1,2,5,219953,12126
1,2,6,249667,14226
1,3,1,5469,6397
1,3,2,3449,4931
1,3,3,5508,7472
1,3,4,5032,6817
1,3,5,4973,6755
1,3,6,5023,6870
1,4,1,198588,14076
1,4,2,141179,9408
1,4,3,209843,14371
1,4,4,197733,15016
1,4,5,188515,13198
1,4,6,187194,13407
1,5,1,329352,30869
1,5,2,294198,27147
1,5,3,327065,31696
1,5,4,344016,32138
1,5,5,315272,26528
1,5,6,317692,27340
1,6,1,251343,25038
1,6,2,257166,24152
1,6,3,307610,29815
1,6,4,315241,31984
1,6,5,266361,26295
1,6,6,291738,29866
1,7,1,166457,25187
1,7,2,145042,20360
1,7,3,179207,25285
1,7,4,151659,22784
1,7,5,138250,21410
1,7,6,183410,26964
1,8,1,101043,19922
1,8,2,75202,14390
1,8,3,82996,14465
1,8,4,105381,20042
1,8,5,89316,16403
1,8,6,85913,17362
1,9,1,69599,4985
1,9,2,40418,2377
1,9,3,62820,5146
1,9,4,60654,4763
1,9,5,62607,4839
1,9,6,41173,2918
1,10,1,98806,9328
1,10,2,69731,7584
1,10,3,83456,8116
1,10,4,114262,10954
1,10,5,78899,7902
1,10,6,81392,8184
1,11,1,167622,17055
1,11,2,132122,15224
1,11,3,159592,19415
1,11,4,134161,15925
1,11,5,173602,18637
1,11,6,106314,14629
1,12,1,220630,9638
1,13,1,184993,28530
1,13,2,116373,18728
1,13,3,156939,21096
1,13,4,160947,20006
1,13,5,142539,17069
1,13,6,194900,25119
1,14,1,72785,5531
1,14,2,53853,4048
1,14,3,34805,2369
1,14,4,65833,5344
1,14,5,70089,5423
1,14,6,54646,4779
1,15,1,155444,9221
1,15,2,128743,7672
1,15,3,125072,7544
1,15,4,107861,7001
1,15,5,148278,9097
1,15,6,148570,8869
1,16,1,110158,9450
1,16,2,117460,9127
1,16,3,137161,10101
1,16,4,165938,13535
1,16,5,157964,12826
1,16,6,168861,12646
1,17,1,405644,15235
1,17,2,392787,14712
1,17,3,342531,13250
1,17,4,425048,15459
1,17,5,500312,18460
1,17,6,466378,18012
1,18,1,11707,2888
1,18,2,13194,3544
1,18,3,25141,4697
1,18,4,24949,3965
1,18,5,14906,3399
1,18,6,10575,3356
1,19,1,80886,11537
1,19,2,74439,9997
1,19,3,123421,18454
1,19,4,76940,11139
1,19,5,109552,15179
1,19,6,109548,17526
1,20,1,47536,2268
1,20,2,30135,1265
1,20,3,50344,2170
1,20,4,28146,1336
1,20,5,21604,1116
1,20,6,45709,2000
1,21,1,79812,6793
1,21,2,88390,7567
1,21,3,116739,9193
1,21,4,91801,7617
1,21,5,71399,6558
1,21,6,103637,7846
1,22,1,143776,13409
1,22,2,129398,12722
1,22,3,133288,13241
1,22,4,102880,10946
1,22,5,133257,14140
1,22,6,129878,12865
1,23,1,183410,15552
1,23,2,165070,13572
1,23,3,203041,16948
1,23,4,134303,10531
1,23,5,189744,15030
1,23,6,171628,14603
1,24,1,59611,7420
1,24,2,61537,7896
1,24,3,63961,7526
1,24,4,80132,8340
1,24,5,69045,7293
1,24,6,60443,7152
1,25,1,173412,15736
1,25,2,132020,11113
1,25,3,195389,19293
1,25,4,200470,17769
1,25,5,170192,16306
1,25,6,178190,17029
1,26,1,179051,14509
1,26,2,182268,14826
1,26,3,210157,14875
1,26,4,166813,12694
1,26,5,195176,15644
1,26,6,136510,10178
1,27,4,1540,250
1,27,5,1238,101
1,28,1,259876,28996
1,28,2,259147,25595
1,28,3,306539,30650
1,28,4,332540,33751
1,28,5,401578,37720
1,28,6,336307,31753
1,29,1,174304,17210
1,29,2,148100,16449
1,29,3,146910,15743
1,29,4,113379,12783
1,29,5,189849,17043
1,29,6,146344,13209
1,30,1,164045,7797
1,30,2,98917,4137
1,30,3,68485,2612
1,30,4,106349,3189
1,30,5,135798,4639
1,30,6,124885,4823
2,1,1,260905,17777
2,1,2,198480,12460
2,1,3,284760,20274
2,1,4,223867,16174
2,1,5,158009,11555
2,1,6,186227,14706
3,1,1,4977,4288
3,1,2,4064,3555
3,1,3,5547,4179
3,1,4,5885,4397
3,1,5,4640,3728
3,2,1,21380,4991
3,2,2,12961,3383
3,2,3,18873,4723
3,2,4,18265,4708
3,2,5,23656,6056
3,2,6,11338,2968
3,3,1,1894,3382
3,3,2,1263,2387
3,3,3,1634,3534
3,3,4,595,1981
3,3,5,1317,3179
3,3,6,1189,2676
3,4,1,21904,7081
3,4,2,13884,4724
3,4,3,18946,6423
3,4,4,10882,3850
3,4,5,20747,7221
3,4,6,13340,5262
3,5,1,45876,4791
3,5,2,36220,4323
3,5,3,35850,4585
3,5,4,36074,4436
3,5,5,28091,3828
3,5,6,23692,3049
3,6,1,7623,5798
3,6,2,7574,5332
3,6,3,6296,4946
3,6,4,8205,6007
3,6,5,5292,3638
3,6,6,8025,6136
3,7,1,24844,4179
3,7,2,18133,3013
3,7,3,29465,4962
3,7,4,25784,4359
3,7,5,20216,4117
3,7,6,37372,6286
3,8,1,36557,3915
3,8,2,37447,3533
3,8,3,46958,4340
3,8,4,29144,2567
3,9,1,46512,2579
3,9,2,65177,3686
3,9,3,48147,2700
3,9,4,44003,2708
3,9,5,52556,3035
3,9,6,35713,1837
3,10,1,27262,5101
3,10,2,28920,5301
3,10,3,30981,5091
3,10,4,26223,4126
3,10,5,38035,6688
3,10,6,33535,6610
3,11,4,13,6
3,11,5,14,17
3,12,1,85622,7169
3,12,2,57907,5985
3,12,3,91846,9030
3,12,4,39964,4366
3,12,5,104192,9685
3,12,6,97171,10082
3,13,1,33554,5725
3,13,2,36516,6315
3,13,3,39212,5548
3,13,4,43231,5375
3,13,5,32464,5334
3,14,1,45596,3348
3,14,2,46439,3424
3,14,3,27183,2078
3,14,4,49583,3934
3,14,5,46600,3314
3,14,6,44080,3565
3,15,1,40214,3622
3,15,2,44510,3309
3,15,3,26947,2153
3,15,4,35689,3224
3,15,5,41799,3981
3,15,6,33386,3185
3,16,1,26472,1236
3,16,2,21075,1063
3,16,3,22836,1103
3,16,4,25099,1185
3,16,5,26371,1264
3,16,6,37512,1936
3,17,1,42020,2357
3,17,2,49493,3462
3,17,3,41854,2513
3,17,4,36402,2430
3,17,5,38942,2560
3,17,6,51953,3271
3,18,1,49612,3579
3,18,2,33204,2328
3,18,3,38816,2626
3,18,4,26580,1421
3,18,5,61800,3607
3,18,6,50585,2973
3,19,1,45426,7673
3,19,2,59529,7505
3,19,3,79005,11106
3,19,4,62308,7859
3,19,5,85678,11650
3,19,6,89741,16143
4,1,1,118461,7744
4,1,2,135471,8288
4,1,3,153987,9283
4,1,4,128600,7590
4,1,5,167233,9263
4,1,6,179476,9247
4,2,1,77980,9199
4,2,2,84073,9093
4,2,3,58103,6390
4,2,4,101011,11492
4,2,5,90123,11404
4,2,6,57882,5812
4,3,1,107721,10318
4,3,2,55606,5161
4,3,3,105886,9523
4,3,4,99434,8973
4,3,5,76330,7274
4,3,6,104089,8797
4,4,1,39558,11147
4,4,2,40037,10310
4,4,3,35436,10184
4,4,4,60674,16351
4,4,5,50977,15594
4,4,6,45417,14726
4,5,1,116524,9823
4,5,2,48560,4729
4,5,3,23517,1163
4,5,4,112085,10152
4,5,5,132788,12377
4,5,6,73370,7203
4,6,1,62017,8020
4,6,2,55033,7796
4,6,3,51721,6383
4,6,4,52518,6433
4,6,5,56804,7985
4,6,6,48732,6167
4,7,1,31973,3777
4,7,2,19718,2314
4,7,3,17921,2081
4,7,4,28561,3268
4,7,5,24605,2831
4,7,6,15353,2148
4,8,5,11197,461
4,9,1,78126,11044
4,9,2,49604,6813
4,9,3,38848,7739
4,9,4,61163,10279
4,9,5,51871,8911
4,9,6,41966,8789
4,10,1,15255,746
4,10,2,33635,1832
4,10,3,33123,1291
4,10,4,37911,1740
4,10,5,16112,737
4,10,6,29434,1297
4,11,1,9132,2399
4,11,2,27519,5966
4,11,3,44956,9386
4,11,4,38021,7465
4,11,5,46933,9860
4,11,6,35979,9202
4,12,1,90968,11410
4,12,2,75069,8960
4,12,3,111172,11619
4,12,4,115035,12507
4,12,5,62228,6286
4,12,6,97911,11641
4,13,1,21462,1170
4,13,2,41285,2217
4,13,3,63952,3204
4,13,4,52629,2724
4,13,5,45865,1955
4,13,6,54562,2723
4,14,1,85047,8985
4,14,2,46046,5748
4,14,3,76897,7926
4,14,4,61454,6610
4,14,5,57661,6087
4,14,6,45503,5418
4,15,1,276028,11517
4,15,2,213538,9567
4,15,3,229985,10113
4,15,4,215522,10138
4,15,5,171261,8449
4,15,6,242802,10162
4,16,1,210777,16546
4,16,2,181246,13613
4,16,3,163321,11982
4,16,4,215473,15903
4,16,5,227606,17173
4,16,6,102413,8487
4,17,1,283797,20060
4,17,2,173421,13400
4,17,3,197774,18287
4,17,4,202356,16694
4,17,5,220118,19026
4,17,6,247494,20619
4,18,1,131335,10509
4,18,2,97935,7361
4,18,3,107360,7403
4,18,4,134340,10117
4,18,5,135374,10394
4,18,6,134380,10336
4,19,1,179373,21526
4,19,2,171245,18888
4,19,3,158623,19823
4,19,4,173099,20237
4,19,5,236445,27007
4,19,6,119199,16934
4,20,1,88369,5842
4,20,2,101799,6553
4,20,3,119433,7459
4,20,4,92603,5794
4,20,5,68555,4440
4,20,6,64126,4271
4,21,1,102077,8342
4,21,2,67319,6551
4,21,3,107568,8950
4,21,4,122421,10911
4,21,5,106506,10040
4,21,6,114362,11229
4,22,1,117049,9048
4,22,2,84891,6051
4,22,3,75329,5845
4,22,4,99859,7941
4,22,5,110256,8228
4,22,6,102782,8231
4,23,1,71213,6426
4,23,2,56999,5217
4,23,3,78730,8605
4,23,4,83774,8114
4,23,5,77069,7365
4,23,6,114674,10825
4,24,1,143473,11977
4,24,2,91332,7788
4,24,3,96795,8528
4,24,4,106817,10334
4,24,5,109587,10941
4,24,6,117269,11083
4,25,1,153381,11838
4,25,2,132819,10779
4,25,3,114492,9973
4,25,4,157628,12357
4,25,5,112639,9168
4,25,6,136200,10941
4,26,1,191771,12294
4,26,2,168259,11895
4,26,3,160792,11196
4,26,4,150362,12410
4,26,5,132149,10159
4,26,6,158636,11781
4,27,1,93725,8598
4,27,2,79661,7163
4,27,3,87558,7366
4,27,4,74801,6578
4,27,5,92429,7870
4,27,6,68540,6090
4,28,1,145284,10215
4,28,2,80173,5951
4,28,3,155571,10060
4,28,4,146343,10026
4,28,5,160623,11310
4,28,6,73432,5565
4,29,1,83909,8808
4,29,2,55922,6245
4,29,3,67991,7586
4,29,4,51947,5641
4,29,5,66792,7094
4,29,6,80678,7499
4,30,1,295271,21130
4,30,2,238492,18397
4,30,3,289330,20168
4,30,4,248187,17885
4,30,5,234920,17832
4,30,6,279487,21225
4,31,1,96558,9010
4,31,2,62231,6265
4,31,3,78709,6477
4,31,4,74893,6183
4,31,5,77261,7062
4,31,6,91090,8595
4,32,1,47877,4890
4,32,2,37377,3960
4,32,3,37213,3744
4,32,4,37222,4565
4,32,5,43847,4891
4,32,6,27378,3041
4,33,1,124310,11237
4,33,2,77714,7197
4,33,3,116738,10413
4,33,4,97217,9110
4,33,5,116082,10473
4,33,6,135338,13458
4,34,1,269721,13754
4,34,2,360562,18465
4,34,3,425904,21169
4,34,4,457268,21916
4,34,5,306607,14100
4,34,6,381969,17873
4,35,1,366177,22716
4,35,2,276386,17911
4,35,3,324129,20533
4,35,4,299771,18560
4,35,5,307892,17332
4,35,6,348331,20776
4,36,1,88683,6975
4,36,2,110740,9610
4,36,3,142184,11330
4,36,4,109108,10354
4,36,5,110264,9911
4,36,6,99129,9040
4,37,1,19731,809
4,37,2,26520,1027
4,37,3,31803,1425
4,37,5,1107,67
4,37,6,20762,804
4,38,1,209028,11707
4,38,2,234770,12689
4,38,3,153757,8895
4,38,4,253419,13392
4,38,5,147986,7718
4,38,6,199929,11831
4,39,1,86709,10091
4,39,2,56023,5597
4,39,3,82233,8629
4,39,4,76692,7698
4,39,5,56455,6304
4,39,6,78511,8513
4,40,1,119960,6600
4,40,2,81721,4828
4,40,3,90773,6613
4,40,4,94981,5459
4,40,5,85868,5405
4,40,6,121600,6151
4,41,1,24,16
4,41,3,133526,8141
4,41,4,148981,8731
4,41,5,138798,6997
4,41,6,18475,1054
4,42,1,112490,9560
4,42,2,123181,8674
4,42,3,106854,6248
4,42,4,117389,8139
4,42,5,135189,9726
4,42,6,147184,10520
4,43,1,293892,15781
4,43,2,315019,17174
4,43,3,318269,17001
4,43,4,282403,14790
4,43,5,290542,16239
4,43,6,379886,19447
4,44,1,293016,12754
4,44,2,257450,12151
4,44,3,307038,14843
4,44,4,162880,7454
4,44,5,219618,10618
4,44,6,174960,9372
4,45,1,316164,12859
4,45,2,230079,9784
4,45,3,159545,7445
4,45,4,229150,10624
4,45,5,178845,8370
4,46,1,246509,9964
4,46,2,118039,5458
4,46,3,202069,8804
4,46,4,182530,8353
4,46,5,204374,8325
4,46,6,202517,8628
4,47,1,163878,8188
4,47,2,156842,8197
4,47,3,174255,8881
4,47,4,135913,6440
4,47,5,152448,7630
4,47,6,118640,6246
4,48,1,87504,5722
4,48,2,64585,4849
4,48,3,64081,4994
4,48,4,84061,5765
4,48,5,54704,4059
4,48,6,83707,6230
4,49,1,164285,10698
4,49,2,169067,10745
4,49,3,168025,10611
4,49,4,152231,10159
4,49,5,154031,10299
4,49,6,81406,6042
4,50,1,172522,10611
4,50,2,163425,10463
4,50,3,146570,11502
4,50,4,165885,12128
