Practice ID,Provider ID,Observation Month,Variable,Value
1,1,1,Encounters,216
1,1,1,RVUs,512.68
1,1,2,Encounters,251
1,1,2,RVUs,560.39
1,1,3,Encounters,297
1,1,3,RVUs,574.39
1,1,4,Encounters,268
1,1,4,RVUs,617.67
1,1,5,Encounters,271
1,1,5,RVUs,675.09
1,1,6,Encounters,280
1,1,6,RVUs,699.72
1,2,1,Encounters,146
1,2,1,RVUs,322.52
1,2,2,Encounters,141
1,2,2,RVUs,346.73
1,2,3,Encounters,119
1,2,3,RVUs,214.47
1,2,4,Encounters,179
1,2,4,RVUs,305.62
1,2,5,Encounters,118
1,2,5,RVUs,168.98
1,2,6,Encounters,158
1,2,6,RVUs,264.45
1,3,1,Encounters,284
1,3,1,RVUs,381.91
1,3,2,Encounters,199
1,3,2,RVUs,319.75
1,3,3,Encounters,281
1,3,3,RVUs,469.07
1,3,4,Encounters,301
1,3,4,RVUs,584.7
1,3,5,Encounters,253
1,3,5,RVUs,579.3
1,3,6,Encounters,328
1,3,6,RVUs,618.93
1,4,1,Encounters,389
1,4,1,RVUs,894.02
1,4,2,Encounters,277
1,4,2,RVUs,612.69
1,4,3,Encounters,397
1,4,3,RVUs,1019.97
1,4,4,Encounters,432
1,4,4,RVUs,691.97
1,4,5,Encounters,350
1,4,5,RVUs,895.16
1,4,6,Encounters,407
1,4,6,RVUs,925
1,5,1,Encounters,337
1,5,1,RVUs,870.52
1,5,2,Encounters,289
1,5,2,RVUs,424.9
1,5,3,Encounters,336
1,5,3,RVUs,727.64
1,5,4,Encounters,366
1,5,4,RVUs,995.74
1,5,5,Encounters,254
1,5,5,RVUs,505.33
1,5,6,Encounters,324
1,5,6,RVUs,510.21
1,6,1,Encounters,261
1,6,1,RVUs,454.24
1,6,2,Encounters,268
1,6,2,RVUs,424.82
1,6,3,Encounters,324
1,6,3,RVUs,716.56
1,6,4,Encounters,364
1,6,4,RVUs,1045
1,6,5,Encounters,263
1,6,5,RVUs,738.92
1,6,6,Encounters,371
1,6,6,RVUs,804.91
1,7,1,Encounters,325
1,7,1,RVUs,823.24
1,7,2,Encounters,281
1,7,2,RVUs,544.9
1,7,3,Encounters,352
1,7,3,RVUs,761.89
1,7,4,Encounters,308
1,7,4,RVUs,508.01
1,7,5,Encounters,279
1,7,5,RVUs,768.54
1,7,6,Encounters,359
1,7,6,RVUs,976.77
1,8,1,Encounters,369
1,8,1,RVUs,843.45
1,8,2,Encounters,255
1,8,2,RVUs,404.7
1,8,3,Encounters,284
1,8,3,RVUs,629.86
1,8,4,Encounters,375
1,8,4,RVUs,502.02
1,8,5,Encounters,319
1,8,5,RVUs,736.07
1,8,6,Encounters,318
1,8,6,RVUs,462.44
1,9,1,Encounters,79
1,9,1,RVUs,168.57
1,9,2,Encounters,42
1,9,2,RVUs,92.14
1,9,3,Encounters,71
1,9,3,RVUs,162.99
1,9,4,Encounters,68
1,9,4,RVUs,179.18
1,9,5,Encounters,77
1,9,5,RVUs,162.99
1,9,6,Encounters,50
1,9,6,RVUs,134.98
1,10,1,Encounters,235
1,10,1,RVUs,474.84
1,10,2,Encounters,181
1,10,2,RVUs,516.57
1,10,3,Encounters,181
1,10,3,RVUs,449.35
1,10,4,Encounters,258
1,10,4,RVUs,445.8
1,10,5,Encounters,204
1,10,5,RVUs,306.35
1,10,6,Encounters,179
1,10,6,RVUs,318.05
1,11,1,Encounters,284
1,11,1,RVUs,701.13
1,11,2,Encounters,250
1,11,2,RVUs,343.68
1,11,3,Encounters,293
1,11,3,RVUs,634.13
1,11,4,Encounters,262
1,11,4,RVUs,717.79
1,11,5,Encounters,296
1,11,5,RVUs,441.63
1,11,6,Encounters,225
1,11,6,RVUs,621.69
1,12,1,Encounters,157
1,12,1,RVUs,234.62
1,13,1,Encounters,398
1,13,1,RVUs,1051.81
1,13,2,Encounters,248
1,13,2,RVUs,323.79
1,13,3,Encounters,275
1,13,3,RVUs,504.76
1,13,4,Encounters,323
1,13,4,RVUs,556.11
1,13,5,Encounters,251
1,13,5,RVUs,688.25
1,13,6,Encounters,316
1,13,6,RVUs,466.1
1,14,1,Encounters,166
1,14,1,RVUs,429.47
1,14,2,Encounters,147
1,14,2,RVUs,318.11
1,14,3,Encounters,63
1,14,3,RVUs,173.63
1,14,4,Encounters,156
1,14,4,RVUs,453.84
1,14,5,Encounters,169
1,14,5,RVUs,247
1,14,6,Encounters,133
1,14,6,RVUs,171.5
1,15,1,Encounters,219
1,15,1,RVUs,567.3
1,15,2,Encounters,185
1,15,2,RVUs,243.46
1,15,3,Encounters,163
1,15,3,RVUs,241.17
1,15,4,Encounters,159
1,15,4,RVUs,357.72
